公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,最低年限,经验,最低工资,月最低工资
上海晨之科信息技术有限公司,上海晨之科,150-500人,C轮,徐汇区,大数据开发工程师,3-5年,大专,15k-25k,"五险一金,年终奖,定期体检,节日福利","['3', '5']",3,"['15', '25']",15
上海银橙文化传媒股份有限公司,银橙传媒,150-500人,上市公司,徐汇区,大数据高级开发工程师,3-5年,本科,20k-25k,"团队强大,美女如云,免费午餐,年底奖金","['3', '5']",3,"['20', '25']",20
上海直真君智科技有限公司,直真君智,50-150人,不需要融资,徐汇区,大数据开发工程师,3-5年,本科,15k-30k,"福利多多,弹性工作","['3', '5']",3,"['15', '30']",15
绵阳驰聘企业管理有限公司,绵阳驰聘,少于15人,未融资,浦东新区,大数据/算法工程师,3-5年,本科,25K-50K,五险一金，年终奖,"['3', '5']",3,"['25', '50']",25
上海钱智金融信息服务有限公司,东方融资网,500-2000人,A轮,普陀区,大数据开发工程师,1-3年,本科,12k-20k,"年14薪,带薪年假,弹性工作,发展快","['1', '3']",1,"['12', '20']",12
上海靖琪网络科技有限公司,靖琪,50-150人,天使轮,浦东新区,大数据开发工程师,1-3年,本科,20k-35k,"工作氛围好,成长空间大,BAT投资,员工福利多","['1', '3']",1,"['20', '35']",20
上海联璧电子科技（集团）有限公司,联璧集团,500-2000人,B轮,松江区,大数据开发工程师,1-3年,本科,8k-15k,晋升空间,"['1', '3']",1,"['8', '15']",8
上海复歌信息科技有限公司,复歌科技,15-50人,A轮,静安区,大数据开发工程师,1-3年,本科,15k-25k,"五险一金,带薪休假,年底双薪,免费体检","['1', '3']",1,"['15', '25']",15
上海九路科技有限公司,九路科技,15-50人,未融资,静安区,大数据开发工程师,3-5年,本科,30k-55k,"团队大牛多,薪资给力","['3', '5']",3,"['30', '55']",30
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,大数据开发,5-10年,本科,25k-45k,亿级用户平台，行业前三，极客团队,"['5', '10']",5,"['25', '45']",25
高升控股股份有限公司,高升控股,150-500人,上市公司,长宁区,大数据研发工程师,1-3年,本科,15k-30k,"上市公司,出国旅游,各种补贴,生日礼物","['1', '3']",1,"['15', '30']",15
合肥庐阳区沥柏食品商行,沥柏网络,500-2000人,不需要融资,浦东新区,大数据开发工程师,3-5年,本科,20k-40k,"待遇优厚,弹性上班,团队氛围好,领导nic","['3', '5']",3,"['20', '40']",20
上海浦东发展银行股份有限公司信用卡中心,浦发卡中心,2000人以上,上市公司,浦东新区,大数据开发工程师,1-3年,本科,15k-25k,"潜力,高薪","['1', '3']",1,"['15', '25']",15
彩虹无线（北京）新技术有限公司,彩虹无线,50-150人,A轮,普陀区,高级大数据开发工程师,5-10年,本科,20k-40k,"六险一金,带薪年假,绩效激励,员工旅游","['5', '10']",5,"['20', '40']",20
上海云砥信息科技有限公司,云砥信息,50-150人,A轮,杨浦区,大数据开发工程师,1-3年,大专,10k-20k,"五险一金,午餐补贴,弹性工作,扁平管理","['1', '3']",1,"['10', '20']",10
上海跬智信息技术有限公司,Kyligence,50-150人,A轮,浦东新区,高级大数据开发工程师,1-3年,本科,20k-30k,从事APACHE开源工作；伙伴是技术大牛兼吃货,"['1', '3']",1,"['20', '30']",20
上海汇航捷讯网络科技有限公司,运去哪,150-500人,B轮,浦东新区,大数据开发工程师,3-5年,本科,15k-25k,"大数据,互联网B轮,美女如云,国际物流","['3', '5']",3,"['15', '25']",15
无锡华云数据技术服务有限公司,华云数据,500-2000人,D轮及以上,杨浦区,15-大数据开发经理,5-10年,本科,30k-40k,各项补贴 节日福利 弹性上下班 年度旅游,"['5', '10']",5,"['30', '40']",30
贝壳金控控股集团有限公司,贝壳金控,500-2000人,未融资,黄浦区,大数据开发工程师-SH02901,3-5年,本科,20k-40k,"五险一金,带薪年假","['3', '5']",3,"['20', '40']",20
上海七牛信息技术有限公司,七牛云,150-500人,D轮及以上,浦东新区,高级大数据工程师,3-5年,本科,15k-30k,六险一金 不打卡 出国旅游,"['3', '5']",3,"['15', '30']",15
上海浦东发展银行股份有限公司信用卡中心,浦发卡中心,2000人以上,上市公司,浦东新区,高级大数据开发工程师,3-5年,本科,20k-30k,"潜力,高薪","['3', '5']",3,"['20', '30']",20
银联智惠信息服务（上海）有限公司,银联智惠,50-150人,不需要融资,浦东新区,高级大数据开发工程师,3-5年,本科,20k-30k,"大数据,linux,hive,spark","['3', '5']",3,"['20', '30']",20
天翼电子商务有限公司,翼支付,500-2000人,上市公司,虹口区,大数据软件工程师 - 流计算方向,1-3年,本科,15k-28k,"八险二金,培训机会,各种补贴","['1', '3']",1,"['15', '28']",15
斯干网络科技有限公司,斯干,50-150人,B轮,徐汇区,大数据开发,1-3年,本科,15k-25k,"上升空间大,福利待遇好","['1', '3']",1,"['15', '25']",15
上海宝尊电子商务有限公司,宝尊电商,2000人以上,上市公司,闸北区,高级大数据开发工程师,3-5年,大专,18k-36k,"福利多多,年终分红,环境好,弹性工作","['3', '5']",3,"['18', '36']",18
携程计算机技术（上海）有限公司,携程,2000人以上,上市公司,长宁区,大数据开发工程师,3-5年,本科,15k-25k,弹性工时,"['3', '5']",3,"['15', '25']",15
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,高级大数据开发【徐汇】,3-5年,本科,12k-24k,多平台，快发展，极客团队，无限发挥！,"['3', '5']",3,"['12', '24']",12
美味不用等（上海）信息科技股份有限公司,美味不用等,500-2000人,D轮及以上,浦东新区,大数据开发工程师,1-3年,本科,15k-25k,免费健身房、下午茶，零弹性工作制,"['1', '3']",1,"['15', '25']",15
上海乐赚互联网金融信息服务有限公司,海尔金融,150-500人,A轮,浦东新区,大数据开发工程师,3-5年,本科,15K-30K,"全额缴金,丰厚年终奖,互金行业,海尔金控","['3', '5']",3,"['15', '30']",15
陕西掘金一号网络科技有限公司,掘金网络,15-50人,未融资,浦东新区,大数据开发工程师,3-5年,本科,15K-30K,公司五险一金，15薪，节日福利，交通补贴,"['3', '5']",3,"['15', '30']",15
京东商城,京东,2000人以上,上市公司,长宁区,大数据实时开发工程师,1-3年,本科,13k-26k,"高挑战,牛人多,平台大","['1', '3']",1,"['13', '26']",13
深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,浦东新区,高级大数据开发工程师（互联网金融）上海,5-10年,本科,25k-50k,"福利好,奖金多,平台大,技术牛人多","['5', '10']",5,"['25', '50']",25
福建顶点软件股份有限公司,顶点软件,500-2000人,不需要融资,浦东新区,大数据系统工程师,1-3年,本科,8k-12k,"六险一金,节日福利,员工旅游,丰厚年终奖","['1', '3']",1,"['8', '12']",8
支付宝(杭州)信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,浦东新区,大数据研发工程师/技术专家,1-3年,本科,24k-45k,"工程师文化,海量数据,技术驱动,蚂蚁期权","['1', '3']",1,"['24', '45']",24
上海海同优才教育培训有限责任公司,职坐标,150-500人,B轮,浦东新区,中/高级大数据研发工程师,1-3年,本科,15k-25k,"在线教育,B轮","['1', '3']",1,"['15', '25']",15
上海嵩恒网络科技股份有限公司,东方头条,500-2000人,不需要融资,浦东新区,大数据开发工程师,1-3年,本科,10k-20k,好,"['1', '3']",1,"['10', '20']",10
上海雅捷信息技术股份有限公司,雅捷,150-500人,上市公司,闵行区,大数据及人工智能,3-5年,硕士,15k-25k,股票期权,"['3', '5']",3,"['15', '25']",15
上海厚本金融信息服务有限公司,厚本金融,2000人以上,A轮,黄浦区,大数据开发经理,5-10年,本科,25k-40k,"发展空间大,福利好","['5', '10']",5,"['25', '40']",25
美味不用等（上海）信息科技股份有限公司,美味不用等,500-2000人,D轮及以上,浦东新区,大数据开发工程师-数据仓库,3-5年,本科,15k-25k,下午茶，零食畅吃，免费健身房，弹性工作制,"['3', '5']",3,"['15', '25']",15
埃毕致（上海）云计算科技有限公司,iBizSys,50-150人,未融资,徐汇区,大数据开发工程师,5-10年,本科,20k-30k,"节日福利,出差补贴,五险一金,带薪年假","['5', '10']",5,"['20', '30']",20
远东国际租赁有限公司,远东国际租赁有限公司,2000人以上,上市公司,浦东新区,高级大数据工程师,3-5年,本科,25k-40k,"弹性工作,扁平化,技术牛,发展机会多","['3', '5']",3,"['25', '40']",25
云俱阵（上海）信息科技有限公司,云俱阵,15-50人,A轮,浦东新区,大数据开发工程师/开发经理,1-3年,本科,15k-30k,"大咖云集,地铁沿线,扁平管理,节日福利","['1', '3']",1,"['15', '30']",15
上海诺诺镑客金融信息服务有限公司,麦子金服,500-2000人,A轮,徐汇区,大数据产品研发工程师,3-5年,本科,15k-25k,"工资自己定,期权任性法,半年晋升","['3', '5']",3,"['15', '25']",15
上海触乐信息科技有限公司,触宝,150-500人,D轮及以上,徐汇区,大数据平台开发工程师,1-3年,本科,25k-45k,"行业独角兽,大牛指导,环境极客,福利待遇佳","['1', '3']",1,"['25', '45']",25
北京思特奇信息技术股份有限公司,思特奇Si-tech,2000人以上,上市公司,浦东新区,产品经理-云和大数据,5-10年,本科,15k-22k,七险一金；福利补助；带薪年假；多项贺礼,"['5', '10']",5,"['15', '22']",15
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,长宁区,大数据与机器学习研发专家,3-5年,本科,20k-40k,"弹性工作,加班补助,大牛团队,带薪休假","['3', '5']",3,"['20', '40']",20
唯品会（中国）有限公司,唯品会,2000人以上,上市公司,闵行区,大数据运维工程师,5-10年,本科,20k-35k,"包三餐,住房免息贷,六险一金","['5', '10']",5,"['20', '35']",20
珠海横琴极盛科技有限公司,极盛科技,500-2000人,上市公司,浦东新区,大数据应用开发工程师,3-5年,硕士,20k-40k,"1年16薪,海量数据","['3', '5']",3,"['20', '40']",20
上海宏路数据技术股份有限公司,Hypers,50-150人,上市公司,虹口区,大数据工程师（初级）,不限,本科,8k-16k,技术氛围好，发展空间巨大,[],0,"['8', '16']",8
上海比领网络科技有限公司,比领网络,50-150人,未融资,徐汇区,大数据技术负责人,3-5年,本科,20k-30k,大数据,"['3', '5']",3,"['20', '30']",20
广州尚洁洗涤用品有限公司,简洗,50-150人,未融资,黄浦区,大数据开发,3-5年,本科,25k-45k,"技术氛围好,谷歌大牛在,BAT","['3', '5']",3,"['25', '45']",25
上海意臣信息科技有限公司,意臣信息,150-500人,未融资,杨浦区,大数据开发工程师/数据分析,1-3年,本科,9k-18k,福利好,"['1', '3']",1,"['9', '18']",9
炫一下（北京）科技有限公司,一下科技,500-2000人,D轮及以上,徐汇区,高级大数据开发工程师,3-5年,本科,30k-60k,e轮融资5亿美金 高并发 用户量大,"['3', '5']",3,"['30', '60']",30
沪江教育科技（上海）股份有限公司,沪江,500-2000人,D轮及以上,浦东新区,高级大数据平台工程师 (MJ000681),3-5年,本科,25k-35k,互联网教育；弹性不打卡；,"['3', '5']",3,"['25', '35']",25
上海聚力传媒技术有限公司,PPTV聚力,500-2000人,D轮及以上,浦东新区,大数据开发工程师（龙珠直播）,3-5年,本科,15k-30k,五险一金，交通补贴，餐饮补贴,"['3', '5']",3,"['15', '30']",15
上海卧岚网络科技有限公司,卧岚科技,50-150人,不需要融资,浦东新区,大数据应用开发工程师,3-5年,本科,15k-25k,自由,"['3', '5']",3,"['15', '25']",15
晋商消费金融股份有限公司,晋消,150-500人,不需要融资,浦东新区,大数据平台开发工程师,不限,本科,23k-45k,"待遇优渥,弹性工作,扁平管理,年轻团队",[],0,"['23', '45']",23
上海跬智信息技术有限公司,Kyligence,50-150人,A轮,浦东新区,研发工程师（大数据，技术生态）,不限,本科,15k-30k,"股票期权,年度旅游,免费零食,公司氛围好",[],0,"['15', '30']",15
星环信息科技（上海）有限公司,星环科技,150-500人,C轮,徐汇区,大数据后端开发工程师,不限,本科,20k-40k,商业保险 补充公积金 技术牛人多 公司氛围,[],0,"['20', '40']",20
上海二三四五网络科技有限公司,2345.com,500-2000人,上市公司,浦东新区,高级大数据开发工程师,3-5年,本科,20k-35k,"上市公司,六险一金,免费早餐,免息车房贷","['3', '5']",3,"['20', '35']",20
深圳市大东豪科技有限公司,深圳大东豪科技,500-2000人,不需要融资,浦东新区,大数据开发,3-5年,本科,20k-40k,"五险一金,带薪年假","['3', '5']",3,"['20', '40']",20
上海寻梦信息技术有限公司,拼多多,500-2000人,C轮,长宁区,高级大数据研发工程师,不限,本科,20k-40k,"薪资高,福利好,奖金丰厚,成长快",[],0,"['20', '40']",20
上海幻电信息科技有限公司,哔哩哔哩,2000人以上,上市公司,浦东新区,大数据平台开发工程师（平台开发方向）,3-5年,本科,18k-36k,"快速发展,晋升空间大","['3', '5']",3,"['18', '36']",18
上海鲁班软件有限公司,鲁班软件,150-500人,不需要融资,杨浦区,大数据工程师（数据模型）,1-3年,本科,10k-20k,"五险一金,免费下午茶,公司氛围好,高成长","['1', '3']",1,"['10', '20']",10
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,徐汇区,大数据平台工程师,3-5年,本科,20k-40k,六险一金，弹性工作，免费三餐，餐补，租房补贴，带薪休假，健身瑜伽,"['3', '5']",3,"['20', '40']",20
东方财富信息股份有限公司,东方财富,2000人以上,上市公司,徐汇区,大数据运维工程师,3-5年,大专,20k-35k,五险一金 年底双薪 项目奖金 年度旅游,"['3', '5']",3,"['20', '35']",20
上海七牛信息技术有限公司,七牛云,150-500人,D轮及以上,浦东新区,大数据开发工程师（富媒体）,3-5年,本科,17k-34k,"六险一金,免费健身,弹性工作,绩效奖金","['3', '5']",3,"['17', '34']",17
上海印闪网络科技有限公司,RupiahPlus,150-500人,A轮,徐汇区,大数据科学家,3-5年,硕士,20k-40k,"上升空间,福利多多,气氛轻松,国际化业务","['3', '5']",3,"['20', '40']",20
创络（上海）数据科技有限公司,chinapex,50-150人,B轮,徐汇区,大数据/C端产品UED设计师,不限,本科,8k-15k,"老板好,弹性工作制",[],0,"['8', '15']",8
北京九章云极科技有限公司,九章云极科技,150-500人,B轮,长宁区,大数据交付工程师（APS）,3-5年,本科,18k-35k,"扁平管理,五险一金,15薪,弹性工作","['3', '5']",3,"['18', '35']",18
上海管易云计算软件有限公司,管易云,150-500人,不需要融资,浦东新区,大数据平台开发工程师,3-5年,本科,18k-30k,"大平台,新产品,专业领导,大空间","['3', '5']",3,"['18', '30']",18
上海瑭凌商务咨询有限公司,上海瑭凌商务咨询有限公司,15-50人,不需要融资,虹口区,大数据总监/Data vp,10年以上,本科,50k-100k,"独角兽公司,期权股票,薪资待遇好,大数据VP",['10'],10,"['50', '100']",50
珠海横琴极盛科技有限公司,极盛科技,500-2000人,上市公司,浦东新区,大数据应用高级工程师,3-5年,本科,20k-40k,"年度旅游,弹性工作,福利补贴,绩效奖金","['3', '5']",3,"['20', '40']",20
上海佰晟通信息科技有限公司,mo9,150-500人,C轮,黄浦区,大数据开发,3-5年,本科,13k-25k,"五险一金,年终奖,年度体检,年度旅游","['3', '5']",3,"['13', '25']",13
智慧芽信息科技（苏州）有限公司,智慧芽,150-500人,C轮,闸北区,销售绩效推动/激励（大数据/人工智能）,1-3年,本科,10k-18k,"业务分析,大数据,人工智能,BI","['1', '3']",1,"['10', '18']",10
苏州盈衍友诚信息科技有限公司,美好分期,150-500人,A轮,黄浦区,大数据可视化工程师,1-3年,本科,15k-25k,"五险一金,年底双薪,带薪年假,定期体检","['1', '3']",1,"['15', '25']",15
华院数据技术（上海）有限公司,华院数据,500-2000人,C轮,杨浦区,大数据分析师,3-5年,硕士,15k-25k,"发展空间大,六险一金,10天年假,各类补助","['3', '5']",3,"['15', '25']",15
珠海横琴极盛科技有限公司,极盛科技,500-2000人,上市公司,浦东新区,大数据可视化工程师,3-5年,本科,15k-25k,"年度旅游,弹性工作,福利补贴,绩效奖金","['3', '5']",3,"['15', '25']",15
上海七牛信息技术有限公司,七牛云,150-500人,D轮及以上,浦东新区,高级大数据开发工程师,3-5年,本科,15k-30k,"六险一金,免费健身,弹性工作,绩效奖金","['3', '5']",3,"['15', '30']",15
北京九章云极科技有限公司,九章云极科技,150-500人,B轮,长宁区,大数据交付工程师（MML）,3-5年,本科,15k-30k,"扁平管理,五险一金,15薪,弹性工作","['3', '5']",3,"['15', '30']",15
上海万得信息技术股份有限公司,上海万得信息技术股份有限公司,2000人以上,不需要融资,浦东新区,大数据平台工程师,5-10年,本科,20k-40k,"行业前景好,大公司,工作氛围好,优秀团队","['5', '10']",5,"['20', '40']",20
招商银行股份有限公司信用卡中心,招商银行信用卡中心,2000人以上,上市公司,浦东新区,大数据开发技术经理,5-10年,本科,30k-50k,职位晋升 年度旅游 年度体检 各类补贴,"['5', '10']",5,"['30', '50']",30
上海佰集信息科技有限公司,简书,50-150人,B轮,徐汇区,大数据平台专家,3-5年,本科,30k-40k,"大牛团队,创业氛围,福利多多,扁平管理","['3', '5']",3,"['30', '40']",30
上海巧房信息科技有限公司,巧房科技,150-500人,B轮,浦东新区,大数据总监,5-10年,本科,35k-45k,"绩效,年终奖","['5', '10']",5,"['35', '45']",35
上海维万广告有限公司,GrowingPeer,少于15人,天使轮,黄浦区,大数据平台高级工程师,3-5年,本科,20k-40k,"公司环境好,竞争力薪酬,五险一金,快速成长","['3', '5']",3,"['20', '40']",20
上海诺诺镑客金融信息服务有限公司,麦子金服,500-2000人,A轮,徐汇区,大数据应用开发岗,3-5年,本科,15k-25k,5A环境、一年两次晋级加薪、年终奖3-5月,"['3', '5']",3,"['15', '25']",15
上海画龙信息科技有限公司,Datatist,15-50人,A轮,徐汇区,大数据科学家,5-10年,硕士,30k-50k,大数据行业先锋，扁平管理，期权激励,"['5', '10']",5,"['30', '50']",30
阿基米德（上海）传媒有限公司,阿基米德fm,50-150人,B轮,长宁区,大数据算法工程师,3-5年,本科,15k-20k,"13薪,补充公积金,商业保险,饭补","['3', '5']",3,"['15', '20']",15
广东亚商教育科技股份有限公司,亚商,150-500人,不需要融资,虹口区,大数据总监,5-10年,本科,25k-50k,"大平台,福利好,待遇从优","['5', '10']",5,"['25', '50']",25
上海金融期货信息技术有限公司,中金所技术公司,150-500人,不需要融资,浦东新区,大数据开发岗,3-5年,本科,20k-30k,"发展平台大,团队和谐,海量数据","['3', '5']",3,"['20', '30']",20
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,徐汇区,大数据平台高级工程师,3-5年,本科,35k-70k,六险一金，弹性工作，免费三餐，餐补，租房补贴，带薪休假，健身瑜伽,"['3', '5']",3,"['35', '70']",35
上海证大喜马拉雅网络科技有限公司,喜马拉雅,500-2000人,D轮及以上,浦东新区,大数据开发工程师（中级）,1-3年,本科,10k-18k,音频独角兽，技术大牛，发展平台、弹性工作,"['1', '3']",1,"['10', '18']",10
上海鲁班软件有限公司,鲁班软件,150-500人,不需要融资,杨浦区,大数据工程师（数据分析）,3-5年,本科,10k-20k,"五险一金,免费下午茶,公司氛围好,高成长","['3', '5']",3,"['10', '20']",10
厦门市杜若科技有限公司,杜若科技,15-50人,未融资,徐汇区,大数据管理员,不限,不限,3k-5k,"五险一金,包住",[],0,"['3', '5']",3
上海画龙信息科技有限公司,Datatist,15-50人,A轮,徐汇区,高级大数据实施工程师,5-10年,本科,15k-30k,"大数据公司,硅谷团队,股票期权,带薪假期","['5', '10']",5,"['15', '30']",15
京东商城,京东,2000人以上,上市公司,长宁区,大数据挖掘工程师,1-3年,本科,15k-25k,"福利好,牛人多,技术牛","['1', '3']",1,"['15', '25']",15
上海维信荟智金融科技有限公司,维信金融科技集团,2000人以上,不需要融资,虹口区,大数据应用经理(J10461),3-5年,本科,30k-50k,"五险一金,稳定平台,高效团队","['3', '5']",3,"['30', '50']",30
上海寻梦信息技术有限公司,拼多多,500-2000人,C轮,,大数据平台开发工程师,3-5年,本科,20k-40k,千万级用户APP 平台发展快 团队年轻有活力,"['3', '5']",3,"['20', '40']",20
上海德启信息科技有限公司,德邦,2000人以上,不需要融资,青浦区,大数据技术专家,10年以上,大专,40k-80k,"上市公司,规模大,晋升空间大",['10'],10,"['40', '80']",40
炫一下（北京）科技有限公司,一下科技,500-2000人,D轮及以上,徐汇区,大数据研发工程师（数据应用）,1-3年,本科,20k-40k,e轮融资5亿美金 高并发 用户量大,"['1', '3']",1,"['20', '40']",20
算话征信有限公司,算话征信,50-150人,B轮,长宁区,大数据分析师,1-3年,本科,8k-13k,"绩效奖金,优秀团队,福利津贴,弹性工作","['1', '3']",1,"['8', '13']",8
上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,上市公司,浦东新区,大数据架构师,5-10年,本科,20k-35k,上升空间大,"['5', '10']",5,"['20', '35']",20
上海国益信息中心有限公司,国益信息,150-500人,不需要融资,徐汇区,大数据情报处理专员,1-3年,本科,5k-10k,"五险一金,扁平化管理,年底双薪,员工旅游","['1', '3']",1,"['5', '10']",5
上海思华科技股份有限公司,思华科技,150-500人,D轮及以上,浦东新区,售前工程师（大数据）,1-3年,本科,8k-15k,六险一金 带薪病事假,"['1', '3']",1,"['8', '15']",8
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,大数据架构师,5-10年,本科,20k-35k,亿级用户平台，即将上市，发挥空间大,"['5', '10']",5,"['20', '35']",20
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,徐汇区,大数据高级开发工程师,3-5年,本科,15k-30k,腾讯大平台,"['3', '5']",3,"['15', '30']",15
上海证大喜马拉雅网络科技有限公司,喜马拉雅,500-2000人,D轮及以上,浦东新区,大数据开发工程师（高级）,3-5年,本科,18k-25k,音频独角兽，技术大牛，发展平台、弹性工作,"['3', '5']",3,"['18', '25']",18
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,大数据产品经理,不限,本科,12k-24k,亿级用户、行业前三、金融科技,[],0,"['12', '24']",12
上海喔噻互联网科技有限公司,喔噻科技,500-2000人,B轮,普陀区,高级大数据开发工程师（上海总部／苏州研发中心）,3-5年,本科,20k-40k,"平台大,福利好,大牛多,股票期权","['3', '5']",3,"['20', '40']",20
上海优刻得信息科技有限公司,UCloud,500-2000人,D轮及以上,杨浦区,大数据平台产品研发工程师,不限,不限,20k-40k,"六险一金,弹性工作,年终旅游,技术挑战",[],0,"['20', '40']",20
